idx,class,conversation
695,협박 대화,"야 너 그런식으로 밖에 싸돌아다니면 다리를 부숴버린다고 했지? 
회사에서 일만 한 거야 진짜야 아무일도 없었어
그걸 내가 어떻게 믿어? 너 지난번에도 전적이 있잖아 그러길래 나한테 애초에 걸리질 말지를 그랬어
그 팀장이랑은 그냥 정말 회식만 한 거야 그러다 장 보다 마주친 거고
너는 입을 닥쳐 한마디 할때 마다 사람을 화가 나게 해 
미안해 자꾸 때리지마 나 이러면 일하러 못가
바람질할려고 얼굴 신경 쓰는 거야? 이러니까 내가 너를 때리는 거야
밖에 애들도 듣고 이러지 말고 내 말을 들어봐
아니 애들도 너가 부정한 짓을 한 걸 알아야지 애들한텐 모르게 하고 싶어?
그런게 아니라 애들이 보면 교육 상 안좋잖아 때리지마"
696,갈취 대화,"자기야 나 클럽 좀 가게 용돈 좀 주면 안 돼?
 저번에도 줬잖아 오빠. 오빠도 이제 알바라도 하면 안돼?
 너 지금 나 백수라고 무시하는 거야?
 아니 그게 아니라. 그리고 오빠 클럽 가는 거 싫어
 내가 다른 여자 만난대? 그냥 춤만 추고 온다는 거잖아.
 그렇게 가고 싶으면 오빠 돈으로 가면 되잖아.
 하. 은지야. 오빠 지금 많이 참고 있는 거 알지?
 오빠 또 나 때리게.?
 은지가 오빠 말만 잘 들으면 오빠가 안 때리고 좋잖아. 어?
 알았어 오빠. 이번이 진짜 마지막이야.
 이게 뭐야 너무 적잖아. 10만원만 더 줘. 내 말이 우스워?
 .알았어"
697,갈취 대화,"우와 이거 진짜 멋지다. 나도 18까지 밖에 없는대.
그지 이거 완전 멋있지. 이거 24이야
부럽다. 나도 그정도 능력 있으면 바꾸고 싶다.
그래? 나한테 줘봐 내가 나중에 내껏처럼 24로 가져다 줄게?
응? 아냐 괜찮아 이거 우리 아빠가 나 응원해주려고 큰맘 먹고 주신거라 이것도 만족해.
머래 주라고 좋은거 바꿔준다고 해도 난리야
아니야 진짜 괜찮아 마음만 받을게
야 내가 호의를 베풀면 감사합니다 하고 줘야지 머하냐 빨리 안내놔
아니 괜찮다니까 내가 괜찮다고.
아놔 이게 장난하냐 야 바꾸고 머고 니꺼 없애게 내놓으라고 빨리 안가져오냐
싫어. 이거 아빠가 주신 선물이야.
아빠 어차피 모르니까 좋은말로 할 때 내놔라."
698,기타 괴롭힘 대화,"미혜야 이거선생님이가져오레
니가 직접가라 왜나한테 오라가라야
 응그러니까같이 들고옮기자 선생님이 2명이서 같이들고오래.
너같은 찐따랑 같이책상들면 애들이 날뭐라생각하겠어 싫어
미혜야 그러지말고 잠깐만도와주라
야너 목욕은했냐? 목은또왜그렇게때가꼈냐
이거나 아토피피부염이야.아무리목욕해도 안돼.피부껍질일어난거라.
야졸라드럽네 아토피도안씻어서나는거아니냐 좀씻고다녀라
아토피는체질이야
야너네집더러운 고물상하니까 세균많아서 그런거걸린거아니냐? 하하
너너무말이심한거아냐?
어쭈이거봐라 왕따가 노려볼줄도아냐?"
699,갈취 대화,"거기 너 이리와봐.
저요?
그래 이 새끼야. 너 걸음걸이가 왜 그따위냐? 꼭 이렇게 흙탕물을 다 튀기면서 걸어? 너 땜에 옷 더러워졌잖아
아. 죄송합니다.
죄송하면 다야? 세탁비는 내놔야 할 거 아냐?
얼마. 드리면 될까요? 3만원이면 될까요?
3만원? 허 웃기는 소리 하네. 야 이거 명품이야. 싸구려 세탁소 가져갈거 아니라고. 10만원 내놔.
그런 돈 없어요.
그런 돈 없어? 그런 돈 아마 한대 처 맞으면 나오겠지? 돈 빨리 안꺼내?
여기 있어요."
700,협박 대화,"어쩔 수 없다. 네가 죽어줘야겠다.
살려주십쇼 형님!
넌 너무 많은 걸 알고 있어.
절대 비밀을 발설하지 않겠습니다.
죽으면 절대 발설하지 못할 거야.
형님 저희 한솥밥 먹은 게 몇 년입니까!
나는 원래 사람을 믿지 않아.
목숨만 살려주십쇼. 제발요 형님!
마지막으로 하고싶은 말은 없나?
형님!"
701,갈취 대화,"민수한테 가서 돈 1만원만 빌려 와라
 민수는 돈 없을 거야
 그럼 누가 돈 있을까
 아마도 병수가 있지 않을까?
 그럼 병수한테 돈 좀 빌려와.
 난 하기 싫어
 니가 돈 안빌려 오며노니 돈을 주든가
 난 돈 없는데
 그럼 니가 돈을 빌려 오든가 아니면 나한테 맞든가 해야겠네
 진짜 난 못해"
702,기타 괴롭힘 대화,"여보세요?
응 자기 나 안 보고 싶었어? 오늘 전화 안해줘서 심심했어
누구세요?
자기 나 알면서 왜 그래?
누구신지 모르겠는데요.
여보세요?
자기 나 안 보고 싶었어? 왜 오늘 전화 안했어?
벌써 며칠째 이 시간에 전화하시는데. 누구시죠?
나 섭하게 할거야? 나 알잖아 자기 사랑하는거
다신 전화하지 말아주세요."
703,기타 괴롭힘 대화,"야야 너 기절놀이아냐?
그게뭔데?
궁금하지 이리와봐 알려줄께 이렇게 목 조르면 기절한다더라고
그.그만해 하지마.
조금만 더 해보자 궁금하잖아 진짜 기절하는지
살.살려줘
그만하고싶으면 기절해 새끼야 그만 좀 버텨라"
704,기타 괴롭힘 대화,"너희 집 돈 없다며?
아니거든?
너희 집 월세라며 돈없는거지
너희는 안그러냐?!
우리는 다 돈주고 샀지 너 거지구나
아니야!
돈이 없으니까 맨날 이렇게 후줄근한 옷이나 입지
아니야.!
애들아 얘 거지야 얘랑 놀지마!
아니라고."
705,협박 대화,"야 당장 니 배를 갈라서 니 장기 다 뽑아가기 전에 각서 써라
죄송합니다 물건은 기간 내에 준비할게요. 조금만 시간을 더 주시면.
지금 6개월째 미루고 있으면서 조금만?? 처맞고 쓸래 그냥 쓸래
죄송합니다 정말. 최대한. 최대한 빨리 준비할게요.
헛소리하지 말고 그냥 빨리 각서나 써라 안 그러면 너 대신 니 여자친구 장기를 다 뽑아서 그 피로 각서 쓸라니까
제 여자친구만은 건들지 말아 주세요. 부탁입니다.
부탁?? 말로만 하지 말고 행동으로 보여주지그래? 빨리 각서 써
. 알겠습니다 쓸게요
그래 진작에 쓰지 그랬어 알지? 니가 각서 쓰고 튀면 나는 니 여친 찾아가서 배를 갈라버릴 거니까 튀지 마라
네. 알겠습니다."
706,직장 내 괴롭힘 대화,"지현씨 나 소개팅 좀 시켜줘봐
네? 저 주변에 아는 사람이 없어서요
아 상사라 불편하다 이거야? 아님 나이가 너무 많아서 지현씨 또래 어린 남자는 안되겠어?
아뇨 그게 아니라 괜찮은 사람이 없어요
지현씨는 매주 주말 남자친구 만나느라 바쁘잖아 너무한다 이기적이네
네? 저 매주 못 만나요 차장님
자기는 데이트하고 남은 신경도 안 쓰고. 지현씨가 회사에 친구 없는 이유를 알겠다
네? 회사는 일하러 오는 곳인데 왜 제가 친구를 사겨야 하나요.?
지금 말대꾸하는 거야? 지현씨 회사에서 소문 얼마나 안 좋은지 알아? 자꾸 이러면 내가 인사고과 잘 줄 수 없어 알아?
알겠습니다 찾아보겠습니다"
707,갈취 대화,"가진거 다 내놔
왜 이러세요
어서 내놓지 못해?
은행 강도예요!
입 닥쳐! 경찰이 오면 넌 인질이다
안돼 살려줘
돈을 모두 자루에 담아
하 할게요
동작 더 빠르게 해
우린 망했어."
708,갈취 대화,"너 빨리 가서 담배 안 사오면 야전삽으로 머리 깬다
카드를 안 주시지 않았습니까.
내가 돈까지 줘야돼? 지금 머리 후려줘?
하지만 전 진짜 돈이 없습니다.
아니 진짜 너 군생활 꼬이고 싶냐?
죄송합니다.
개빡치네 니가 알아서 돈 구해서 사오라고
최대한 구해보겠습니다
동작 개느리네 니위로 내아래로 다 집합시켜
옙."
709,협박 대화,"약속했지. 기한을 못 넘기면 손모가지 날리겠다고.
선생님 그게 아니라. 제가 정말 급한 사정이 생겨서요.
이 세상에 사정 없는 사람이 어디 있나. 어느 쪽으로 할래?
선생님 정말 하루만. 하루만 시간을 더 주세요.
저번에도 일주일 달래서 주지 않았나? 일을 자꾸 미루시네.
이번에는 정말 자신 있습니다. 제발 오늘 한 번만 기회를 더 주세요.
손을 아주 벌벌 떠네. 좋아 대신 다음번에는 이렇게 떨 시간도 안 줄거야.
선생님 정말 감사합니다.
그 사이에 잠적하면 알지. 끝까지 찾아가서 장기 다 털어낸다.
네. 명심하겠습니다."
710,직장 내 괴롭힘 대화,"김선생님 이따 저녁에 뭐하세요?
아무 일정 없습니다. 원장선생님.
그래요? 잘됐다. 그럼 김선생이 남아서 일좀 하면 되겠네
네? 무슨일이길래.?
별건 아니고 나 연수받아야 하는데 그것 좀 대신 좀 해줘요.
네? 그걸 제가 어떻게.
온라인이라 괜찮아 부탁할게 김선생
아. 죄송합니다. 원장선생님. 그건 좀 아닌 것 같아요
김선생 내가 예쁘게 봐줬더니 이정도는 해야지
아. 그래도 이건 아닌 것 같습니다. 죄송합니다."
711,기타 괴롭힘 대화,"저기요. 쿠팡잇츠에서 시킨 사람인데요. 빙수 맛이 다른데요?
네? 그럴리가 없는데. 혹시 주문번호가 어떻게 되나요.?
203번이요
아. 사인머스켓 팥빙수 시켜셨지요? 무엇이 문제인가요?
네. 샤인머스켓에서 단맛이 없고 사과처럼 퍼석 거리네요.
네? 그럴리가 없는데. 다른 고객님들은 아직 컴플레인 없으셨는데. 혹시 불 옆에서 조리를 하시거나 다른 음식이랑 섞인 건 아니신가요?
뭐? 팥빙수를 그냥 먹지 불에 조리를 어떻게 해요 미친거아니야. 그리고 내가 다른 음식이랑 왜 섞어서 먹어요. 됐고 빨리 환불해주세요.
네? 잠시만요. 사장님 죄송한데 쿠팡이츠 주문하신 분 음식이 이상하다고 환불해달라는데 어떻게 할까요?
머? 또 시작이네 붉어져봐야 우리만 손해니까 그냥 환불해드려.
네. 알겠습니다. 고객님 불편을 들여 죄송합니다. 지금 환불해드리겠습니다."
712,협박 대화,"나 너 살 안 빼면 헤어질거야
뭐? 진짜 내가 그 말 하지 말라고 했지
나 너 뱃살 있는 거 진짜 싫어
개새끼
살 얼른 빼 보기 싫으니까
작작 말해 미친 새끼
응응 이번에 살 안 빼면 진짜 나랑 그만 만나
알겠어 오빠
그래 뚱땡아아
응응 알겠어"
713,갈취 대화,"민구야 이거 니 자전거야?
어 응 아빠가 사주셨어
오진짜?
응 학교에서 학원까지 운동삼아 타고다니라고
그래? 나도 한번 타보자
아 알겠어
야 이거 잘나간다 조금만 페달 굴려도 숭숭가네?
어 어디까지가?
아 이거타고 나 집까지 가게
안돼 멈춰줘
니가 따라오던가 못잡으면 이거 내꺼"
714,갈취 대화,"소정아! 교수님 생신이신데 우리 2만원씩 걷어서 작은 선물 하기로 했거든? 너도 할거지?
 뭐? 나는 교수님이랑 많이 친하지도 않고 솔직히 돈내고 싶은 마음 없는데. 편지만 쓰면 안될까?
 무슨 소리야! 이렇게 챙겨드리며 가까워지는거지!
 아. 그리고 이거 법에 걸리는거 아니야?
 누가 신고만 안하면 되지. 조용히 할 거니까 괜찮아.
 하! 진짜 웃긴다. 내가 신고하면?
 신고하면 너 이제 학과생활 끝이야. 원래 비협조적인건 알았는데. 생각보다 더 하는구나 너?
 참. 낸다 내! 2만원?
 맞아 잘 생각했어.
 휴."
715,갈취 대화,"비트코인 주소 이쪽으로 돈 보내시기 바랍니다.
 누구시죠?
 김서진씨 몸캠 하셨죠?
 몸캠이요?
 네 하셨잖아요. 어제 화상캠 하셨죠?
 .네 맞는데요. 왜요?
 그거 다 녹화되어있고 입금 안하시면 지인들에게 영상 다 보낼겁니다. 얼른 입금하세요. 금액은 제가 보낸 메세지 보시기 바랍니다.
 하 이게 무슨일. 저 진짜 제발 한번만 봐주시면 안될까요?
 안됩니다. 빨리 입금하시고요. 단 제대로 돈 보내시면 영상은 삭제해드립니다.
 영상 진짜 삭제해는거 맞죠.?
 네 얼른 돈 빌려서라도 보내세요. 3일 드립니다.
 보냈어요. 제발 삭제해주세요. 제발."
716,기타 괴롭힘 대화,"아 완전 게임 못해 너 게임 왜하냐? 
너는 그럼 게임 왜하는데? 
아 
아 
니가 할말은 아니지
너가 할말도 아니지 
너 엄마 없지? 
패드립??????리폿해야겠다
너 엄마 없잖아 
너 신고할거야 경찰서에서 보자"
717,협박 대화,"당장 기사 내려라 피보기 싫으면
 팩트를 체크 한거고 안 내릴 겁니다.
 서울 강남고등학교 3학년 2반 김동훈 너 아들 맞지 ?
 그걸 당신이 어떻게 알아!!
 이정돈 기본이다 가족들을 잃고싶나
 이 개자식이!! 날 뭘로보고
 소중한 아들과 집에있는 아내를 지키고 싶으면 지우지 그래
너 내가 다 고소하고 감방에 쳐넣을거야!!
 그전에 너내 가족이 사라질건데?
이 개자식아!!"
718,갈취 대화,"당신 부인을 데리고있다
원하시는게
내가 지정한사물함에 돌을넣어놓지않으면 장기밀매로 넘기겠다.
당장은 돈이없어요.
이런 죽어도 좋다는 말인가?
어떻게든 구해볼게요.지금 몸이 많이 아픈사람입니다.
30분주겠다.서울역 17번사물함에 돈을넣어놔.
어떻게든 구해볼게요.기다려주세요.
난 인내심이 없으니 빨리하는게 좋을거야.
.네"
719,갈취 대화,"좋아보인다 목걸이?
왜이러세요
쫌 사나보다? 내가 좀 해봐도 되냐? 
안돼요 엄마가 사주신거에요
한번 해보겠다고 어려운거 아니잖아
돌려주실거에요?
내가 어울리면 내꺼지 
네? 그런게 어디있어요
디질래? 니 목따서 가져올까?
.여.여기있어요.꼭 돌려주세요"
720,기타 괴롭힘 대화,"아 멍청한 프린터기 같으니라고
야 왜그래
프린터가 제대로 안되잖아
내가 해볼게 됐지?
오 대박
으이구 기계치
맞아
너 카톡프사도 바꿀줄 모르지?
그정도는 아니거든
에이 맞는 거 같은 데 우리할머니가 너 보다 잘하겠다"
721,갈취 대화,"여보세요?
나야. 3백만 보내.
그런 돈 없어.
돈이 없긴? 니 서방 이번에 임원직 올라갔다며? 임원직들 성과급 빵빵 할텐데
그래 있다 치자. 그걸 내가 왜 널 줘?
아니 너는 정도 없냐? 전남편 어떻게 사는지 뻔히 알면서?
이혼했잖아. 너는 너고 나는 나지.
하 참 있는 년들이 더 한다더니. 돈도 넘쳐나면서. 니 전에 업소에서 일하던 얘기를 내가 니 서방한테 꼭 해줘야될텐데.
어차피 연락처도 없잖아.
연락처가 없긴. 대기업 임원직 연락처 알아내기가 뭐 어려운 일이라고. 참 썅년이 팔자 폈어. 딱 3백 보내. 아무 소리 안할테니까.
너. 이거 진짜 마지막이야. 다음부턴 협박하든 말든 돈 주는 일 없을거라고. 알아?"
722,갈취 대화,"너 저 레스토랑 갔지?
? 누구세요?
답답하게 하지 말고 갔는지 안 갔는지만 답해.
가 갔는데요?
그럼 돈 많겠네? 친구야 돈 좀 빌리자.
네? 시 싫어요.
야 이 새끼아 좀 빌리자는데 잔말말고 내놔.
시 싫어요. 돌려주지 않을 거잖아요.
욜. 잘 아네. 그럼 내놔.
안돼요. 제발요."
723,직장 내 괴롭힘 대화,"안녕하세요 이번에 부서 이동하신 분 맞죠?
아! 네. 안녕하세요 .
네네. 근데 사업관리팀 좋지 않나? 어쩌다 인사팀으로 오신거에요?
아 제가 원래 인사관리 쪽으로 관심이 있었는데 티오가 없어서 기다리다가 티오 생겼다고 해서 바로 오게 되었습니다.
거기서 꽤 높은 직급까지 다셨다고 들었는데 여기선 처음부터하셔도 괜찮으신거에요 ?호호
그럼요. 전 좋아서 온 건데요.
그렇구나 난 또 거기서 다른 직원분들한테 은근 따돌림 당하셔서 옮기신 줄 알았네요.
그런 일 없었습니다.
근데 왜 매 번 항상 혼자만 다니시고 딱히 다른 분들이랑 살갑게 지내시는 걸 도통 못봐서 제가 뭐 오해했나봐요.
오해가 있으셨나봐요. 전 그냥 혼자 다니는 게 편해서요.
같이 다녀 주는 직원들이 없는 것 같은데.성격이 생각보다 별로신가봐요.되게 까칠하실 것 같네. 여기서도 곧 다른 데로 가실까봐요"
724,기타 괴롭힘 대화,"밥 뭐먹을까
국밥?
와씨 저 국밥충 새끼
그럼 학식?
아니 그건 맛없잖아
뭐 먹고 싶은데?
아무거나
간단하게 분식?
요새 분식 별로 안 땡겨
햄버거?
나 다이어트해서. 근데 너 진짜 센스없구나?"
725,직장 내 괴롭힘 대화,"김계장
네?
자네 지금 뭐라고 했는가?
지시하신게 시간이 촉박해 조금 힘들것 같습니다
내가 까라면 까야지 말이 많네
당장 업무 변경 하려면 다시 초기화해야하는데.직원들도 너무 지쳤고
어차피 며칠 뒤면 끝날 프로젝트 며칠 고생한다고 죽나?
하지만.
하지만은 무슨 하지만 군대 안갔다왔어?까라면 까
네."
726,협박 대화,"삼촌 이제 그만하면 안돼?
너 이거 엄마한테 말하면 맞아 죽을 줄 알아 삼촌이 너 엄마보다 힘센거 알지? 너 엄마도 무사하지 못해
삼촌 아파
맞아 죽고싶어? 가만히 있어
아프다니까요
너 이 새끼 안되겠어 삼촌 몽둥이 가져올까 가만히 있어! 
알겠어요"
727,직장 내 괴롭힘 대화,"이사원 내가 일이 생겨서 그런데 내 일 남은거 좀 해줄수 있어?
아.네 알겠습니다
이사원 왜 싫어?왜 고민을 하지?
아 그게 저도 일이 있긴한데
참 세상 편해졌다니까
네?
나때는 상사의 말에는 무조건 바로 네라고 말했는데 참.
죄송합니다
이사원 처신 잘하자 알겠지?
네 알겠습니다"
728,갈취 대화,"엄마 나 아들이야 내 휴대폰이 망가졌어 친구 휴대폰으로 급하게 연락했어
왜 무슨 일이야?
나 교통사고가 났어
몸은 괜찮아?
외제차랑 교통사고가 나서 합의금이 필요해
얼마나 드는데?
천만원으로 싸게 합의하기로 했어 계좌번호 문자로 보낼게
엄마 돈이 지금 당장 없어
엄마 보험든 거 있잖아
알겠어 해지해서 입금할게"
729,갈취 대화,"부탁이 좀 있는데. 300만원만 좀 보내라.
말도 안 되는 소리 하지 마.
말도 안 되는 소리?
내가 네 부탁을 왜 들어줘야 되는데.
그런 말 할 상황이 아닐텐데?
무무슨 소리야.
저번에 찍어둔 영상. 아직 내 휴대폰에 있다고.
뭐? 저번에 지웠다고 했잖아.
하하 그걸 믿었어? 당연히 거짓말이지.
하. 알겠어. 이번에 보내면 제발 지워줘."
730,협박 대화,"너희 아들 대학교 3학년 맞지?
그건 어떻게
전부인은 외국에 있던데
우리 가족은 내버려둬!
한번만 더 소리지르면 다시는 가족얼굴 못 볼줄 알아.
알았어 원하는게 뭐야
지금 너가 그런 말 할 상황이 아닐텐데? 죽고싶어?
.
건방지게 굴다간 전부인 앞에서 죽게될거야."
731,갈취 대화,"야 너 얼마있냐 ?
나 오늘은 돈 없어
이새끼가 거짓말하네 야 지갑가져와봐
나 지갑도 안가져왔어
지갑 나오면 디진다
이러지마 저번에도 가져갔잖아.
닥쳐 이 호로새끼야 니 돈이 내돈이야
그 돈 오늘 집 갈 차비야 안돼
너 쳐 맞고 싶냐? 백원당 한 대씩 쳐 맞을래?
미안해"
732,협박 대화,"나만나줘
왜그러세요 정말 부담스러워요 부장님
아니 같이 나이들어 가는 처지에 노총각 노처녀끼라 한번 만나자는데 뭐가 문제야?
제발요 저는 누구 만날 생각도 없어요
아니 몸에 금칠이라도 한거야? 밥한번 먹어보고 아니다 싶으면 안만나면 되잖아
아니요 저는 그럴 생각없어요. 제생각은 단호에요
어쭈. 진짜몸에 금칠이라도 했는지 피부라도 벗겨봐야 알겠어?
그런 모욕적인 언사 참고있지 않겠습니다
안참으면 어쩔건데 니가? 어?
악 아파요 놔주세요 머리 다 뽑혀요
너같은 것들은 말로해서 안돼"
733,기타 괴롭힘 대화,"야! 알바생
왜그러시죠?
이건 내가 주문한게 아니잖아 아까부터 왜그러지? 벌써 두번째잖아
아 죄송합니다.
아니 진짜 죄송한거 맞냐고 내가 얼마나 바쁜사람인데 여기벌써 30분째 음료만 기다리고 있잖아
손님 죄송합니다.근데 손님이 이걸 시킨게 맞다고 기계에.
그럼 내가 지금 억지부린다는 거야?
아뇨 다시 한번 생각을 잘 해보시면.
야 너 몇살인데 어른한테 다시 생각해보라고 말하니? 사장 나오라해
아 손님 죄송합니다."
734,직장 내 괴롭힘 대화,"지수씨는 좋겠다
왜요?
비정규직은 부담없잖아
무슨 소리세요?
아니 어차피 갈 사람이니까
저도 팀원인데요?
설렁설렁해
말 이상하게 하시네요
틀린 말은 아니잖아?
그만하세요"
735,직장 내 괴롭힘 대화,"김대리 이걸 작업이라고 해 온 건가?
네?
자네 눈에는 이게 제대로 해 온 거라고 보이는가 보지? 자네 눈이 어떻게 됬나?
저는 부장님이 말씀하신대로.
본인이 제대로 못했으면서 이제 생사람 잡네? 그래서 내 잘못이다?
아닙니다.제가 잘못했습니다.
자네 내가 우습나?
.죄송합니다
자네 이거 제대로 못하면 오늘 퇴근 할 일은 없을거야.
네.알겠습니다."
736,협박 대화,"나랑 계속 만나줘
우린 여기까진거같아
너가 없으면 죽어버릴거야
그러지마 제발
내가 죽는꼴 보고싶지않으면 계속 만나
우리는 여기까진거같아 제발 정신차려
여기서 끝내면 난 집에가서 손목을 그을거야
미안하다
날 꼭 죽이고싶어?
제발 그러지 말아줘."
737,협박 대화,"안녕하세요
네
혹시 이나연씨인가요?
네 맞아요
왜그러시죠?
돈을 안갚으셨내요
아 맞다 
내일까지 꼭 갚을게요 
오늘까지 갚으세요
돈이 없어요 
그럼 맞으세요"
738,기타 괴롭힘 대화,"또 뭘 처먹냐
뭐가.
그만 좀 쳐먹어 씹돼지야
왜그래.
너 걸어다닐때마다 바닥이 울려
아니야. 왜그래.
너네 엄마도 너같이 돼지냐?
어니야 우리엄마 욕하지마
완전 돼지 가족이네
진짜 하지마"
739,갈취 대화,"야 00아 이것 좀 매점에서 사다줘
아 응 돈은?
아 미안미안 내가 지금 현금이 없어서 내일 바로 줄게!
여기 사왔어.
아 뭐야 이것만 사왔어?
너가 이거 사오래서.
아니 나 점심도 안 먹었는데 이걸로 배가 차?
아. 미안 몰랐어 근데 지금 매점 문 닫을 시간이라. 미안해
아 장난하냐 이건 니가 잘못한거니까 돈 안준다
어? 어 응. 알겠어"
740,기타 괴롭힘 대화,"너 이번에 면접 붙었니?
아.그게 .
또 떨어졌어? 누굴 닮아서 이러는거야
아.
옆 집 자식은 대기업 다닌다더라
죄송해요 .
너 같은 자식 키우면서 바람 잘 날이 없어
죄송합니다 .
그 나이먹고 백수짓하는거 창피한줄알아!
.죄송합니다"
741,갈취 대화,"어이 거기 멸치. 이리와바.
네? 왜요.
너 돈 얼마있냐? 내가 오늘 기분이 좀 안좋아서.
돈 한푼도 없어요.정말요.
아 그러셔? 뒤져서 돈 나오면 10원당 한대다?
아니.정말.돈없어요
뭐야 30만원이 나왔네?
그건 안되요.학원비라서.
이게 정신을 맞아야 차리나 맞고 줄래? 그냥 줄래?
그냥 드릴게요."
742,갈취 대화,"저기 당근이신가요.?
아 네네 안녕하세요!! 구매자님이시죠!!
네 제품은 정품 맞죠?
네네 맞아요!! 거래 감사합니다!
판매자님 제가 물건 확인해 보니까 가품으로 확인 됐는데요?
네? 무슨말씀이세요 이거 매장에서 구입한 정품 맞는데요.
거짓말하지 마세요! 제가 매장에 확인해보니 가품이라고 하는데 이거 환불해주세요!!
아 분명 판매할 당시 교환 및 환불은 안된다고 써놨는데요.
아니 웃기는 분이시네!! 돈 안주면 경찰에 신고할테니 마음대로 하세요!!
알겠어요 돈 돌려드릴게요 계좌번호 알려주세요 
계좌번호 보냈어요 인생 그렇게 살지 마세요!!
입금 했습니다 신발은 다시 돌려주세요.
가품인거 알고 화가나서 버렸어요!
네?? 그래도 다시 돌려주셔야죠.
가품 돌려드리면 다른분한테도 사기 치시려구요? 차단할테니 연락하지마세요!!
이런게 어디있어요"
743,기타 괴롭힘 대화,"야
왜?
일로와바
니가와
오라고.
왜.
너 떔에 되는일이 하나도 없어
왜 나떄문인데?
그냥 다 너떄문이야 
나한테 왜그러는거야."
744,기타 괴롭힘 대화,"어으 냄새 
응? 나한테 냄새나?
어 돼지 썪은 내나 
무슨 말을 .그렇게해
좀 씻고다녀 살은 뒤룩뒤룩 쪄서 냄새 더 난다
나.잘 씻고다니는데 .
어디서 말대꾸야 씻으라면 좀 씻어
알았어 .미안해
뚱뚱하고 못생기고 어으 극혐이다
미안해 ."
745,직장 내 괴롭힘 대화,"오늘 얼굴이 왜그래
넘 바빠서 급하게 나오느라요.
혼자 일 다 하는 것도 아니면서 제일 바쁜척은
그러고보니 좀 아파보이는것 같애
오늘 화장을 잘 못해서.
좀 화장도 예쁘게 하고 다녀 회사 사람들 보기에 창피하지도 않아?
그리고 살도 좀 빼야지 요즘들어 기운도 없고 힘들어보이는게 부쩍 살이 쪄서 그런가봐
살찌면 몸도 무겁고 더 기운없지
알겠습니다.
우리 회사 욕보이지말라고 어디가서.
네."
746,협박 대화,"내가 전화하지말랬지? 집에 있을땐
미미안해 오빠 실수로 눌렀어
너때문에 우리 와이프가 오해해서 얼마나 진뺐는지 알아?
아 실수였어 미안해. 응? 더 조심할게
애초에 거머리같이 들러붙는 거 짠해서 몇번 만나줬더니
미안해 오빠 내가 더 조심할게 헤어지잔말만 하지마
아후 재수털려 확씨 기분도 구린데 조져 버릴까보다
미안해.
진짜 너때문에 내 인생 아작날뻔했어 조심안하면 죽여버릴거야
미안해 진짜"
747,직장 내 괴롭힘 대화,"야 너 이리와봐 이게 뭐야?
네? 뭐가 문제가 생겼나요
이새끼봐라 니가 뭘했다고 휴가를써
아. 저 한번도 휴가를 못썼는데요
지금 내가 니 일시켰다고 시위하는거야?
아닙니다
니가 일만 똑바로 했어도 내가 안이러지 멍청한새끼야
죄송합니다
너같은걸 대체 누가 뽑았냐? 당장 휴가 반납해
알겠습니다."
748,직장 내 괴롭힘 대화,"김대리 이걸 보고라고 올린거야? 
과장님께서 이 부분만 다시 수정해서 올리라고 하셔서 다시 해온건데.
사람이 이렇게 융통성이 없어 내가 하란대로만 할거면 죽으라면 죽을건가? 처음부터 다시 해와
네 과장님 
박과장 보고 좋다고 위에서 칭찬이 자자해
다 부장님 덕분입니다
아니 과장님 그거 제 보고서 .
김대리 사람 그렇게 안봤는데 우길걸 우겨야지 내 이름 안보이나?
그때 수정하라고 하시고선 그 전 보고서를 과장님 이름으로 바꿔서 내신거잖아요
증거있나? 그리고 그렇게 상하관계 무시하고 독단적으로 행동할거면 회사 때려치게"
749,갈취 대화,"남편이름이 김정호씨죠?
네. 그런데요?
남편이 우리한테 돈을 빌려 안갚아서 우리가 데리고 있어요
네? 남편은 어디있어요? 바꿔주세요?
아줌마! 내말 잘들어요. 천만원 내일까지 안가져 오면 다신 남편 못봐! 알았어?
제발! 남편 헤치치 마세요. 돈 가져 갈께요 내일은 너무 촉박해요. 시간 좀 더 주세요
그건 우리는 몰라. 그리고 경찰한테 연락하면 당신 남편 목숨은 알지?
네. 절대 신고 안할께요. 제발 남편 목소리라도 들려 주세요. 네
남편 목소리 듣고싶으면 바로 돈 준비해서 와!
남편 휴대폰으로 전화하면 남편 목소리도 못듣는줄 알고 어디에도 전화하지말고 돈만 준비해! 내 전화만 받아? 알았어?
네.네. 절대로 다른짓 하지 않겠습니다. 제발 남편만 해치지 말아주세요."
750,기타 괴롭힘 대화,"사장님?
네 말씀하세요.
제가 어제 여기서 딸기를 구입했는데.
네 무슨 문제라도 있나요?
위에 꺼는 괜찬은데 밑에꺼는 곰팡이 폈어요.환불해주세요
죄송합니다.고객님.환불은 어려울꺼 같아요
그럼 이거 어떻하라는거죠?저보고 먹으라고요?
그건 아니고 다른제품으로 바꿔가세요.
다른제품?찝찝해서 안되겠는데요?
그럼 환불은 어렵습니다."
